Index,Word,log freq,nr. of tokens,tokens,word score
267,contract,11.490127556294224,1,contract,-14.240028381347656
268,contracted,7.8383433155571165,2,cont_racted,-18.426048278808597
269,contradicted,7.0317412587631285,3,cont_rad_icted,-20.89495086669922
270,convalescent,7.579167967396076,3,conv_ales_cent,-20.58293342590332
271,convict,10.382636733441569,2,con_vict,-18.69058609008789
272,convinced,7.636269603379373,3,con_vin_ced,-19.18636512756348
273,cook,10.46070045585524,1,cook,-14.582794189453123
274,cooked,7.0317412587631285,1,cooked,-17.64653778076172
275,cop,12.48407173888712,1,cop,-13.517601013183594
276,copycat,6.761572768804055,2,copy_cat,-16.934772491455078
277,corporation,10.641129972982624,3,cor_por_ation,-18.1033935546875
278,costumed,6.356107660695892,2,cost_umed,-18.0791015625
279,couch-potato,0.0,5,c_ouch_-_pot_ato,-25.257286071777344
280,count,13.15798531503375,1,count,-14.193946838378906
281,countess,7.709756864454165,2,count_ess,-20.62061309814453
282,courier,7.8826922062890254,3,c_ou_rier,-17.81931495666504
283,courted,6.8001700683022,2,cour_ted,-21.30112648010254
284,cousin,9.282568005973063,3,c_ous_in,-19.665380477905277
285,crackhead,5.484796933490655,3,cr_ack_head,-21.01210021972656
286,craftsman,7.913521017283895,3,craft_s_man,-19.90652847290039
287,crane,8.883085524404578,2,cr_ane,-18.183364868164062
288,crashed,6.052089168924417,2,cr_ashed,-17.980388641357422
289,created,9.659120364770292,1,created,-13.651100158691406
290,creditor,10.128349626344304,3,c_red_itor,-21.223560333251957
291,criminal,10.07483241861645,1,criminal,-14.37188720703125
292,critic,11.1048068393965,2,crit_ic,-16.261585235595703
293,criticized,8.027476530860483,3,crit_ic_ized,-20.939838409423828
294,crop,10.458090798648009,1,crop,-15.3153076171875
295,crowd,9.76663636978693,2,c_rowd,-16.36620330810547
296,cryptographer,6.084499413075172,2,crypt_ographer,-18.886180877685547
297,culprit,7.773173680482536,3,cul_p_rit,-19.97779083251953
298,cultivated,7.982074875081202,2,cult_ivated,-21.35672378540039
299,curator,8.546363568716018,2,cur_ator,-18.735126495361328
300,cure,10.333189885008338,2,c_ure,-17.24542236328125
301,cushion,8.53346016388011,3,c_ush_ion,-18.64005279541016
302,custodian,7.952615111651,4,c_ust_od_ian,-18.83830451965332
303,customer,9.891465577308802,2,custom_er,-15.147796630859377
304,cyclist,6.728628613084702,2,cycl_ist,-18.81087875366211
305,cynic,8.51959031601596,2,cy_nic,-20.803630828857425
306,dad,10.409069451979065,1,dad,-16.05120086669922
307,damsel,8.29853954537488,2,dam_sel,-17.651390075683594
308,dancer,8.058960017769417,2,d_ancer,-19.806072235107425
309,dazzled,6.7226297948554485,3,d_azz_led,-22.26440048217773
310,dealer,8.812992231969966,2,deal_er,-18.0822868347168
311,dean,9.34984141075374,2,de_an,-16.98409652709961
312,deceived,7.665284718471351,2,de_ceived,-20.19272232055664
313,deceiver,7.59337419312129,2,de_ceiver,-19.73898696899414
314,deckhand,6.642486801367256,2,deck_hand,-21.50469207763672
315,decorated,6.78897174299217,3,dec_or_ated,-17.20245361328125
316,deer,10.369012417071955,2,de_er,-17.59856414794922
317,defeated,9.108086137937429,3,def_e_ated,-18.442604064941406
318,defendant,10.225534819164793,2,def_endant,-20.14434814453125
