word,nr. of tokens,tokens,word score
crystallizing,3,crystal_##li_##zing,-22.54843521118164
crystallographic,3,crystal_##log_##raphic,-21.513554573059082
crystals,1,crystals,-12.149760246276855
cta,2,c_##ta,-19.321476936340332
cuba,2,cu_##ba,-19.085055351257324
cuban,2,cu_##ban,-22.10210132598877
cubans,3,cu_##ban_##s,-24.434014797210693
cubbyhole,3,cu_##bby_##hole,-15.110058784484863
cubes,2,cube_##s,-14.457413673400879
cubic,1,cubic,-15.313968658447266
cubism,3,cu_##bis_##m,-22.08863067626953
cubist,3,cu_##bis_##t,-20.994190216064453
cubs,2,cu_##bs,-15.213539123535156
cuddleback,3,cu_##ddle_##back,-21.351171493530273
cudkowicz,4,cu_##d_##ko_##wicz,-30.57235622406006
cuff,2,cu_##ff,-14.176961898803711
culminate,3,cu_##lm_##inate,-19.60378932952881
culminates,4,cu_##lm_##inate_##s,-19.201111316680908
culmination,3,cu_##lm_##ination,-16.248727798461914
culprit,4,cu_##l_##p_##rit,-16.76279067993164
culprits,4,cu_##l_##p_##rits,-19.805967330932617
cult,1,cult,-9.777251243591309
cultivate,2,cult_##ivate,-12.610292911529541
cultivated,1,cultivated,-12.587890625
cultivates,3,cult_##ivate_##s,-16.053658485412598
cultivating,2,cult_##ivating,-14.108673572540283
cults,2,cult_##s,-12.476802349090576
cultural,1,cultural,-12.325106620788574
culture,1,culture,-11.000706672668457
cultures,1,cultures,-13.41971492767334
cumara,2,cum_##ara,-26.469074249267578
cumberland,3,cum_##ber_##land,-25.886258125305176
cumulate,2,cum_##ulate,-18.45203685760498
cumulative,1,cumulative,-13.2290678024292
cunard,2,cu_##nard,-24.48010540008545
cunningham,3,cu_##nning_##ham,-22.458845138549805
cunningly,3,cu_##nning_##ly,-13.987430572509766
cup,1,cup,-10.805266380310059
cupboard,2,cup_##board,-14.67171859741211
cupboards,2,cup_##boards,-17.93630075454712
cupped,1,cupped,-12.418540000915527
cups,1,cups,-14.527810096740723
curator,1,curator,-14.678571701049805
curb,1,curb,-13.546701431274414
curbing,2,curb_##ing,-13.464166641235352
curbs,2,curb_##s,-14.874244689941406
curd,2,cu_##rd,-16.393404483795166
cure,1,cure,-8.730319023132324
