word,nr. of tokens,tokens,word score
dad,1,dad,-7.2537946701049805
damsel,2,dams_##el,-12.423286437988281
dancer,1,dancer,-10.089818954467773
dazzled,3,da_##zzle_##d,-15.014261722564697
dealer,1,dealer,-9.970497131347656
dean,1,dean,-10.030620574951172
deceived,2,de_##ceived,-14.346521377563477
deceiver,3,de_##ceive_##r,-15.072440147399902
deckhand,2,deck_##hand,-14.358549118041992
decorated,1,decorated,-11.694591522216797
deer,1,deer,-8.770691871643066
defeated,1,defeated,-10.691774368286133
defendant,1,defendant,-11.417274475097656
defended,1,defended,-11.693942070007324
defender,1,defender,-11.033498764038086
defied,2,def_##ied,-14.827042579650879
delivered,1,delivered,-11.137802124023438
dentist,2,den_##tist,-11.25243854522705
depicted,1,depicted,-12.987765312194824
deprecated,4,de_##p_##re_##cated,-17.68492555618286
dermatologist,3,der_##mat_##ologist,-20.515435218811035
desk,1,desk,-9.332167625427246
detective,1,detective,-7.525667190551758
detested,3,de_##test_##ed,-17.461109161376953
devastated,1,devastated,-11.991350173950195
devoured,3,de_##vour_##ed,-16.312305450439453
dietitian,3,diet_##iti_##an,-23.713359832763672
digger,2,dig_##ger,-10.681257247924805
dinner,1,dinner,-8.983203887939453
diplomat,1,diplomat,-10.485666275024414
director,1,director,-9.518105506896973
disappointed,1,disappointed,-10.440549850463867
disciplined,2,discipline_##d,-11.820250511169434
discouraged,1,discouraged,-12.010643005371094
discovered,1,discovered,-9.934782981872559
discredited,3,disc_##red_##ited,-18.020050525665283
disdained,4,di_##s_##dain_##ed,-17.049129486083984
disease,1,disease,-9.051080703735352
disgusted,1,disgusted,-11.14560317993164
disillusioned,4,di_##si_##llus_##ioned,-20.04428768157959
disobeyed,4,di_##so_##bey_##ed,-20.409343719482422
disparaged,4,di_##sp_##ara_##ged,-25.052167892456055
displeased,4,di_##sp_##lea_##sed,-23.16969871520996
dissuaded,4,di_##ss_##uad_##ed,-18.519357681274414
distributor,1,distributor,-11.600189208984375
distrusted,4,di_##st_##rust_##ed,-19.615545749664307
ditch,1,ditch,-10.715450286865234
ditched,2,ditch_##ed,-12.311665534973145
diva,2,di_##va,-11.945155143737793
diver,1,diver,-11.16247272491455
doctor,1,doctor,-7.04555606842041
dodged,2,do_##dged,-14.228100776672363
domestic,1,domestic,-9.69504165649414
donna,2,don_##na,-16.724003791809082
donned,2,don_##ned,-14.974699020385742
donor,1,donor,-10.462430953979492
door,1,door,-8.227506637573242
draftsman,2,draft_##sman,-11.684200286865234
dragged,1,dragged,-11.767925262451172
dramatist,2,drama_##tist,-11.418962478637695
drank,1,drank,-10.762762069702148
dreaded,2,dread_##ed,-9.688118934631348
dressmaker,2,dress_##maker,-14.67512845993042
driven,1,driven,-11.286225318908691
driver,1,driver,-8.909834861755371
drove,1,drove,-11.387056350708008
drummer,1,drummer,-9.978510856628418
drunk,1,drunk,-8.139616012573242
duped,2,du_##ped,-14.26307201385498
dwarf,1,dwarf,-9.163924217224121
eaten,1,eaten,-10.195880889892578
economist,1,economist,-11.293118476867676
edited,1,edited,-10.703008651733398
editor,1,editor,-8.955252647399902
elderly,1,elderly,-10.012784004211426
emailed,2,email_##ed,-14.954526424407959
embarrassed,1,embarrassed,-10.440736770629883
embezzler,4,em_##be_##zzle_##r,-19.841257095336914
embraced,1,embraced,-12.111272811889648
emissary,3,em_##issa_##ry,-19.077512741088867
employed,1,employed,-10.745174407958984
employee,1,employee,-9.214155197143555
emptied,1,emptied,-12.174299240112305
emt,2,em_##t,-16.194900512695312
emulated,2,em_##ulated,-16.261250495910645
enchanted,2,en_##chanted,-13.862189769744873
encouraged,1,encouraged,-11.577997207641602
engrossed,3,en_##gro_##ssed,-20.02010726928711
entertained,1,entertained,-11.98144245147705
entertainer,2,entertain_##er,-11.511956214904785
enthusiast,4,en_##thus_##ias_##t,-20.986846923828125
entomologist,3,en_##tom_##ologist,-17.183013439178467
entrepreneur,1,entrepreneur,-10.666399955749512
envelope,1,envelope,-10.428625106811523
envied,2,en_##vied,-18.092995643615723
environmentalist,2,environmental_##ist,-11.614480972290039
envoy,2,en_##voy,-13.55565357208252
erased,1,erased,-9.962461471557617
established,1,established,-10.718849182128906
estate,1,estate,-9.747952461242676
esteemed,2,esteem_##ed,-11.12863540649414
evangelist,3,e_##van_##gelist,-12.4234619140625
evicted,2,e_##victed,-13.343488693237305
ex-wife,3,ex_-_wife,-2.445479393005371
examined,1,examined,-11.721917152404785
excavator,4,ex_##ca_##vat_##or,-18.92868661880493
executive,1,executive,-10.821990966796875
exiled,1,exiled,-11.630341529846191
exited,1,exited,-12.615113258361816
exorcist,3,ex_##or_##cist,-14.026432991027832
expelled,1,expelled,-10.839418411254883
experimenter,2,experiment_##er,-10.822665214538574
expert,1,expert,-8.71135139465332
expression,1,expression,-9.395293235778809
exterminator,4,ex_##ter_##mina_##tor,-22.025320529937744
extolled,3,ex_##to_##lled,-19.505406856536865
extortionist,4,ex_##tor_##tion_##ist,-15.353545665740967
failed,1,failed,-9.643507957458496
fairy,1,fairy,-8.375812530517578
fan,1,fan,-8.570281028747559
farmed,2,farm_##ed,-14.85589599609375
farmer,1,farmer,-9.383423805236816
father,1,father,-7.278049468994141
faucet,4,f_##au_##ce_##t,-17.58496332168579
favored,1,favored,-11.383598327636719
feared,1,feared,-11.40804672241211
fed,1,fed,-10.942726135253906
fedora,2,fed_##ora,-12.354218482971191
felled,2,fell_##ed,-13.369486808776855
felon,3,f_##elo_##n,-16.79582166671753
fieldworker,3,field_##work_##er,-14.466588497161865
fighter,1,fighter,-10.319287300109863
filed,1,filed,-11.080904960632324
filet,2,file_##t,-13.98952341079712
filmmaker,1,filmmaker,-11.454704284667969
financier,3,fin_##an_##cier,-16.2080717086792
finished,1,finished,-10.00001335144043
fired,1,fired,-10.98978328704834
firefighter,2,fire_##fighter,-12.225899696350098
first,1,first,-6.617846488952637
fisherman,2,fish_##erman,-9.963691711425781
fixed,1,fixed,-11.581384658813477
flag,1,flag,-10.595428466796875
flattered,2,flat_##tered,-14.135419845581055
flight-attendant,3,flight_-_attendant,-4.850649833679199
flora,1,flora,-10.48913288116455
florist,3,fl_##oris_##t,-14.486775398254395
flustered,2,flu_##stered,-12.614884376525879
fool,1,fool,-8.182680130004883
fooled,2,fool_##ed,-10.625224113464355
football,1,football,-7.863994598388672
foreigner,2,foreign_##er,-9.450294971466064
foreman,2,fore_##man,-13.308622360229492
forger,2,forge_##r,-14.652018547058105
forgot,1,forgot,-10.343442916870117
forgotten,1,forgotten,-8.951337814331055
form,1,form,-9.027268409729004
fortune-teller,4,fortune_-_tell_##er,-4.118283271789551
found,1,found,-8.645257949829102
frenchman,3,f_##rench_##man,-15.745232582092285
freshman,1,freshman,-8.56811237335205
friend,1,friend,-6.090317726135254
frightened,1,frightened,-11.063994407653809
fund,1,fund,-12.294673919677734
funded,1,funded,-12.514137268066406
funeral,1,funeral,-10.5164794921875
game,1,game,-7.688488006591797
gangster,1,gangster,-9.540206909179688
garbled,3,g_##ar_##bled,-16.685233116149902
gardener,2,garden_##er,-10.628242492675781
gave,1,gave,-11.387054443359375
general,1,general,-8.002631187438965
geneticist,2,genetic_##ist,-11.057897567749023
genius,1,genius,-6.584465980529785
geologist,1,geologist,-11.161588668823242
ghost,1,ghost,-7.461277961730957
giraffe,3,g_##ira_##ffe,-17.77295970916748
girl,1,girl,-5.665554046630859
girlfriend,1,girlfriend,-6.891603946685791
given,1,given,-9.740680694580078
gnome,3,g_##no_##me,-13.857216358184814
go-between,3,go_-_between,-6.452793121337891
goaded,2,go_##aded,-13.36429500579834
goalkeeper,1,goalkeeper,-11.21495246887207
gold,1,gold,-8.058557510375977
governed,1,governed,-12.882059097290039
governess,2,govern_##ess,-10.70832347869873
governor,1,governor,-10.453680038452148
grain,1,grain,-10.717876434326172
graph,1,graph,-10.14074420928955
greeted,1,greeted,-10.80056381225586
grilled,3,g_##rille_##d,-15.072205543518066
grocer,3,g_##ro_##cer,-15.608124732971191
groundskeeper,2,grounds_##keeper,-14.605764389038086
groupie,2,group_##ie,-9.438032150268555
guaranteed,1,guaranteed,-11.545538902282715
guarantor,4,g_##ua_##rant_##or,-24.660794734954834
guard,1,guard,-9.496072769165039
guest,1,guest,-9.029568672180176
guide,1,guide,-9.636996269226074
gun,1,gun,-8.251640319824219
gunsmith,2,guns_##mith,-16.399226188659668
gymnast,2,gym_##nast,-11.003658294677734
hacker,2,ha_##cker,-10.044212341308594
hailed,1,hailed,-12.922540664672852
hairdresser,3,hair_##dress_##er,-13.017657279968262
hairstylist,3,hairs_##ty_##list,-19.47464656829834
handcuffed,3,hand_##cu_##ffed,-22.497426986694336
handyman,2,handy_##man,-10.119474411010742
harassed,2,ha_##rassed,-15.513091564178467
hassled,3,has_##sle_##d,-13.19138240814209
hated,1,hated,-9.04616928100586
hatter,2,hat_##ter,-13.035717964172363
head,1,head,-7.5330986976623535
headmaster,1,headmaster,-10.448925018310547
hedonist,3,he_##don_##ist,-15.95985221862793
heir,1,heir,-10.553454399108887
helped,1,helped,-10.319326400756836
helper,2,help_##er,-8.610454559326172
hero,1,hero,-8.146502494812012
hid,1,hid,-10.628596305847168
hidden,1,hidden,-8.813417434692383
hijacker,3,hi_##jack_##er,-14.431592464447021
hired,1,hired,-10.638989448547363
historian,1,historian,-9.354050636291504
hit,1,hit,-8.626811027526855
hitter,1,hitter,-11.509050369262695
hoarder,3,ho_##ard_##er,-13.80150842666626
hockey,1,hockey,-9.71930980682373
hoisted,2,ho_##isted,-16.095308303833008
homeless,1,homeless,-8.835131645202637
hoodlum,2,hood_##lum,-9.914753913879395
hooligan,3,ho_##oli_##gan,-16.14665460586548
hostage,1,hostage,-10.725361824035645
hounded,3,ho_##und_##ed,-15.247717380523682
house,1,house,-6.812270164489746
hugged,1,hugged,-11.039817810058594
humorist,2,humor_##ist,-10.508387565612793
hung,1,hung,-11.247628211975098
hunter,1,hunter,-8.769148826599121
huntsman,2,hunt_##sman,-10.656976699829102
hypnotized,5,h_##y_##p_##not_##ized,-20.116436004638672
hypochondriac,7,h_##y_##po_##cho_##nd_##ria_##c,-27.20637035369873
identified,1,identified,-10.9340238571167
idiot,1,idiot,-6.7641921043396
illness,1,illness,-10.37519645690918
imitated,2,im_##itated,-14.453840255737305
imitator,3,im_##ita_##tor,-15.199739456176758
immigrant,1,immigrant,-10.092132568359375
impersonator,3,imp_##erson_##ator,-17.866714477539062
impressed,1,impressed,-9.87728214263916
industrialist,1,industrialist,-12.358686447143555
infant,1,infant,-9.60484790802002
infantryman,2,infantry_##man,-12.733421325683594
inherited,1,inherited,-10.447084426879883
initialed,2,initial_##ed,-15.276711463928223
inmate,2,in_##mate,-11.436832904815674
innovator,3,inn_##ova_##tor,-14.04869556427002
inspected,1,inspected,-12.859529495239258
inspector,1,inspector,-11.3233003616333
instructed,1,instructed,-11.720784187316895
instructor,1,instructor,-10.321102142333984
instrumentalist,2,instrumental_##ist,-13.309340476989746
insulted,1,insulted,-11.889846801757812
insurgent,3,ins_##urge_##nt,-19.289255142211914
intermediary,3,inter_##media_##ry,-14.35183334350586
intern,2,inter_##n,-10.76876163482666
interpreter,1,interpreter,-9.852256774902344
interrogated,3,inter_##rogate_##d,-14.990518569946289
interviewee,2,interview_##ee,-10.481764793395996
interviewer,2,interview_##er,-9.33321475982666
intrigued,1,intrigued,-10.677034378051758
introduced,1,introduced,-10.362640380859375
intruder,2,in_##truder,-12.319908142089844
invader,2,invade_##r,-11.68358325958252
inventor,1,inventor,-10.111501693725586
investigator,1,investigator,-10.46197509765625
investor,1,investor,-11.515466690063477
invoiced,4,in_##vo_##ice_##d,-14.768092632293701
irked,2,i_##rked,-12.919025897979736
ironed,2,iron_##ed,-13.703455924987793
irritated,1,irritated,-11.423072814941406
itinerary,3,it_##iner_##ary,-13.920976638793945
jail,1,jail,-9.513882637023926
jam,1,jam,-8.935325622558594
janitor,3,j_##ani_##tor,-13.931495189666748
jester,2,j_##ester,-11.906239986419678
jet,1,jet,-10.564644813537598
jock,2,j_##ock,-9.576619148254395
joker,2,joke_##r,-9.184128761291504
journalist,1,journalist,-9.531826972961426
judge,1,judge,-9.62339973449707
jury,1,jury,-11.844014167785645
key,1,key,-8.189200401306152
kid,1,kid,-6.907068729400635
kidnapped,1,kidnapped,-9.809040069580078
killed,1,killed,-9.004493713378906
king,1,king,-7.6656341552734375
kissed,1,kissed,-9.943732261657715
lab,1,lab,-8.89966869354248
lad,1,lad,-9.67232894897461
lady,1,lady,-6.8314409255981445
landlady,3,land_##lad_##y,-17.805898666381836
landscaper,2,landscape_##r,-11.939167976379395
laptop,1,laptop,-10.23371410369873
lauded,2,laude_##d,-13.204578399658203
lawyer,1,lawyer,-8.553458213806152
leader,1,leader,-9.021673202514648
lecturer,1,lecturer,-11.141585350036621
left,1,left,-7.914005279541016
legislator,3,leg_##is_##lator,-16.111677169799805
letter,1,letter,-8.153608322143555
liar,1,liar,-7.484629154205322
librarian,1,librarian,-7.841634750366211
lieutenant,1,lieutenant,-10.610240936279297
lifted,1,lifted,-11.465307235717773
light,1,light,-8.409382820129395
linebacker,1,linebacker,-10.198625564575195
lion,1,lion,-9.06783390045166
liquor,1,liquor,-10.082698822021484
litigator,3,lit_##iga_##tor,-22.30147647857666
loaded,1,loaded,-10.063615798950195
loathed,2,lo_##athed,-15.732082843780518
located,1,located,-10.645149230957031
logger,2,log_##ger,-12.742391586303711
loner,2,lone_##r,-11.355277061462402
lord,1,lord,-9.752411842346191
lost,1,lost,-7.128333568572998
loudmouth,2,loud_##mouth,-10.580048561096191
loved,1,loved,-8.572587966918945
loyalist,2,loyal_##ist,-11.942612648010254
luggage,1,luggage,-10.764932632446289
lunatic,3,l_##una_##tic,-11.713862895965576
lyricist,1,lyricist,-10.364432334899902
made,1,made,-9.060382843017578
maestro,3,ma_##est_##ro,-18.832439422607422
magician,1,magician,-9.429542541503906
maid,1,maid,-9.07832145690918
maiden,1,maiden,-11.226722717285156
mailman,2,mail_##man,-11.153375625610352
main,1,main,-9.044301986694336
man,1,man,-5.090278625488281
manager,1,manager,-9.61448860168457
maneuvered,2,maneuver_##ed,-14.884882926940918
maniac,2,man_##iac,-10.463842391967773
manicurist,4,man_##ic_##uri_##st,-17.908226490020752
manservant,3,man_##ser_##vant,-18.03716468811035
manufacturer,1,manufacturer,-11.148031234741211
manuscript,1,manuscript,-10.951985359191895
mapmaker,2,map_##maker,-14.555713653564453
marauder,4,ma_##ra_##ude_##r,-17.817362308502197
marcher,2,march_##er,-13.334293365478516
marine,1,marine,-9.50914192199707
mariner,2,marine_##r,-11.15212631225586
marketer,2,market_##er,-13.901754379272461
marmalade,3,ma_##rmal_##ade,-20.43315315246582
married,1,married,-8.067571640014648
mason,2,ma_##son,-13.562458515167236
masseuse,3,mass_##eus_##e,-25.22530460357666
master,1,master,-8.066276550292969
mathematician,1,mathematician,-9.594474792480469
mauled,3,ma_##ule_##d,-18.153054237365723
meat-eater,4,meat_-_eat_##er,-7.470320224761963
meatpacker,3,meat_##pack_##er,-18.218435764312744
mechanic,1,mechanic,-9.89652156829834
medalist,1,medalist,-11.743182182312012
mediator,2,media_##tor,-11.081947326660156
medic,2,me_##dic,-10.464114665985107
medicine,1,medicine,-8.8209228515625
memento,2,me_##mento,-11.489532947540283
memorized,3,me_##mor_##ized,-15.10726547241211
