word,nr. of tokens,tokens,word score
convalescent,3,conv_ales_cent,-34.666015625
convict,2,con_vict,-25.118057250976562
convinced,3,con_vin_ced,-28.590622901916504
cook,1,cook,-20.489322662353516
cooked,1,cooked,-20.80963897705078
cop,1,cop,-20.223148345947266
copycat,2,copy_cat,-21.061094284057617
corporation,3,cor_por_ation,-29.785298347473145
costumed,2,cost_umed,-28.163759231567383
couch-potato,5,c_ouch_-_pot_ato,-37.06606483459473
count,1,count,-18.458858489990234
countess,2,count_ess,-26.753722190856934
courier,3,c_ou_rier,-26.88040542602539
courted,2,cour_ted,-23.618020057678223
cousin,3,c_ous_in,-23.106263637542725
crackhead,3,cr_ack_head,-29.242905616760254
craftsman,3,craft_s_man,-25.85178232192993
crane,2,cr_ane,-22.9506196975708
crashed,2,cr_ashed,-24.174824714660645
created,1,created,-17.12777328491211
creditor,3,c_red_itor,-27.104533195495605
criminal,1,criminal,-19.68832778930664
critic,2,crit_ic,-21.831048011779785
criticized,3,crit_ic_ized,-27.259033679962158
crop,1,crop,-18.20400047302246
crowd,2,c_rowd,-19.69219207763672
cryptographer,2,crypt_ographer,-26.605005264282227
culprit,3,cul_p_rit,-34.47561740875244
cultivated,2,cult_ivated,-27.06963348388672
curator,2,cur_ator,-21.314136505126953
cure,2,c_ure,-16.396479606628418
cushion,3,c_ush_ion,-25.388742446899414
custodian,4,c_ust_od_ian,-32.26125240325928
customer,2,custom_er,-20.445798873901367
cyclist,2,cycl_ist,-23.59538173675537
cynic,2,cy_nic,-24.663219451904297
dad,1,dad,-18.228105545043945
damsel,2,dam_sel,-24.132930755615234
dancer,2,d_ancer,-17.780484199523926
dazzled,3,d_azz_led,-28.497742652893066
dealer,2,deal_er,-20.16447162628174
dean,2,de_an,-19.411956787109375
deceived,2,de_ceived,-22.27584457397461
deceiver,2,de_ceiver,-23.461593627929688
deckhand,2,deck_hand,-27.638717651367188
decorated,3,dec_or_ated,-26.605941772460938
deer,2,de_er,-17.65820598602295
defeated,3,def_e_ated,-27.10408115386963
defendant,2,def_endant,-21.25038242340088
defended,2,def_ended,-17.76737880706787
defender,2,def_ender,-19.25508403778076
defied,2,def_ied,-20.382909774780273
delivered,2,del_ivered,-25.854841232299805
dentist,3,d_ent_ist,-24.278592109680176
depicted,2,dep_icted,-22.837838172912598
deprecated,2,dep_recated,-24.611644744873047
dermatologist,3,der_mat_ologist,-33.065606117248535
desk,2,des_k,-20.66352653503418
detective,2,det_ective,-28.588850021362305
detested,2,det_ested,-26.491596221923828
devastated,3,dev_ast_ated,-28.70002269744873
devoured,2,dev_oured,-26.85673236846924
dietitian,4,d_iet_it_ian,-33.161681175231934
digger,2,dig_ger,-19.891698837280273
dinner,2,d_inner,-18.070155143737793
diplomat,3,di_plom_at,-30.365910053253174
director,1,director,-15.796404838562012
disappointed,2,dis_appointed,-22.005566596984863
disciplined,3,dis_cipl_ined,-36.02787780761719
discouraged,3,disc_our_aged,-31.033013343811035
discovered,2,disc_overed,-21.657113075256348
discredited,2,disc_redited,-22.440011024475098
disdained,3,dis_d_ained,-26.714406967163086
disease,3,d_ise_ase,-27.24294090270996
disgusted,3,dis_g_usted,-31.487564086914062
disillusioned,3,dis_illusion_ed,-29.873047828674316
disobeyed,3,dis_ob_eyed,-31.775339126586914
disparaged,3,dis_par_aged,-31.286860466003418
displeased,3,dis_ple_ased,-30.704562187194824
dissuaded,4,d_iss_u_aded,-37.152512550354004
distributor,3,dist_ribut_or,-28.703914642333984
distrusted,3,dist_r_usted,-33.12784671783447
ditch,2,d_itch,-18.04961395263672
ditched,2,dit_ched,-28.721028327941895
diva,2,div_a,-16.12541389465332
diver,2,d_iver,-19.458075523376465
doctor,1,doctor,-19.96805763244629
dodged,3,d_od_ged,-27.94641399383545
domestic,2,dom_estic,-26.092032432556152
donna,2,d_onna,-22.000883102416992
donned,2,don_ned,-25.2124662399292
donor,2,don_or,-18.63694667816162
door,1,door,-18.06043243408203
draftsman,3,draft_s_man,-24.96050500869751
dragged,2,dr_agged,-23.8297061920166
dramatist,4,d_ram_at_ist,-31.306842803955078
drank,2,dr_ank,-23.249095916748047
dreaded,3,d_read_ed,-23.306767463684082
dressmaker,2,dress_maker,-23.261868476867676
driven,1,driven,-17.59185791015625
driver,1,driver,-17.231924057006836
drove,2,dro_ve,-25.161681175231934
drummer,3,d_rum_mer,-27.34919548034668
drunk,2,dr_unk,-22.95707607269287
duped,2,du_ped,-25.8734712600708
dwarf,3,d_war_f,-27.522960662841797
eaten,2,eat_en,-21.633045196533203
economist,2,econom_ist,-21.3660306930542
edited,1,edited,-15.810005187988281
editor,1,editor,-14.677730560302734
elderly,3,e_lder_ly,-26.571685791015625
emailed,2,em_ailed,-22.49998188018799
embarrassed,3,emb_arrass_ed,-31.414812088012695
embezzler,4,em_be_zz_ler,-38.039024353027344
embraced,3,em_br_aced,-34.661197662353516
emissary,3,em_iss_ary,-29.707463264465332
employed,1,employed,-16.512035369873047
employee,2,employ_ee,-21.667760848999023
emptied,2,empt_ied,-27.075127601623535
emt,2,em_t,-21.837353706359863
emulated,2,em_ulated,-25.577866554260254
enchanted,2,ench_anted,-28.51838207244873
encouraged,3,enc_our_aged,-32.12849521636963
engrossed,3,eng_ross_ed,-28.00748348236084
entertained,3,ent_ert_ained,-30.748201370239258
entertainer,3,ent_ertain_er,-31.26111936569214
enthusiast,4,ent_hus_i_ast,-39.27832746505737
entomologist,3,ent_om_ologist,-31.401206016540527
entrepreneur,3,ent_reprene_ur,-32.194228172302246
envelope,3,en_velop_e,-31.883394241333008
envied,2,env_ied,-25.35702419281006
environmentalist,2,environment_alist,-29.855406761169434
envoy,2,env_oy,-25.93114185333252
erased,2,er_ased,-22.304022789001465
established,1,established,-17.954946517944336
estate,1,estate,-19.26911735534668
esteemed,2,este_emed,-30.19664192199707
evangelist,3,ev_angel_ist,-26.73929214477539
evicted,2,ev_icted,-23.080936431884766
ex-wife,3,ex_-_wife,-9.494401931762695
examined,3,ex_am_ined,-27.596883296966553
excavator,3,exc_av_ator,-27.93980836868286
executive,2,exec_utive,-24.440135955810547
exiled,2,ex_iled,-23.667519569396973
exited,2,ex_ited,-19.40013599395752
exorcist,3,ex_orc_ist,-32.14065742492676
expelled,2,ex_pelled,-23.892102241516113
experimenter,3,exper_iment_er,-29.36151361465454
expert,2,ex_pert,-22.337726593017578
expression,1,expression,-17.030183792114258
exterminator,3,ex_termin_ator,-29.59098196029663
